Title,Description,Visible Url,Url
"Watch Next Day Episodes Online - Add Hulu Now. Try 30 Days Free‎","Exclusive Past Seasons, Current Episodes & <b>Movies</b> - Streaming All In One Place!","www.hulu.com/30DayFreeTrial","https://www.hulu.com/start?"
"Hulu Official Site - Start Today & Try 30 Days Free‎","Exclusive Past Seasons, Hit <b>Movies</b> & Current Episodes. Start Your <b>Free</b> Trial Now","www.hulu.com/30DayFreeTrial","http://www.google.com/aclk?sa=l&ai=DChcSEwiqp5LOhd_SAhULJGgKHcblCNEYABAAGgJzYw&sig=AOD64_02fzQPNBgtH1QqPCvxtNLRoS9RgA&adurl=&q="
"Hulu Official Site - Start Today & Try 30 Days Free - hulu.com‎","Exclusive Past Seasons, Hit Movies & Current Episodes. Start Your <b>Free</b> Trial Now","www.hulu.com/30DayFreeTrial","https://www.hulu.com/start?"
"Begin Your 30 Day Free Trial - Start Today & Try 30 Days Free‎","<b>Watch</b> Your Favorite Shows & Movies On Your Favorite Devices, Wherever You Are!","www.hulu.com/30DayFreeTrial","https://www.hulu.com/start"
"Watch Live TV with Hulu - TV That Gets You - hulu.com‎","<b>Live TV</b> & Streaming in One Place with Hulu. Start Your Free Trial Today!","www.hulu.com/FreeTrial/HuluLiveTV","https://www.hulu.com/start/live-tv"
"Hulu Official Site - Start Your Free Trial‎","Watch Hit Shows, New Episodes, & Exclusive Originals. Start a <b>Free</b> Week Trial!","www.hulu.com/FreeTrial","https://www.hulu.com/start?"
"Watch Next Day Episodes Online - Add Hulu Now. Try 30 Days Free‎","Catch Up With All Your Favorite Shows & Movies On Hulu. Start Your Free Trial","www.hulu.com/30DayFreeTrial","https://www.hulu.com/start"
"Hulu Official Site - Start Streaming Today - hulu.com‎","Get Three Months of Hulu for the Price of Two. Get this Special Offer!","www.hulu.com/3for2Deal","http://www.hulu.com/start/jara"
"Hulu Official Site - Start Your Free Trial - hulu.com‎","<b>Watch</b> Hit Shows, New <b>Episodes</b>, & Exclusive Originals. Start a <b>Free</b> Week Trial!","www.hulu.com/FreeTrial","https://www.hulu.com/start?"
"Hulu: Make TV Yours - Limited-Time Offer $5.99/Month‎","Start a Free Trial for Access to Hit Shows, Movies & Exclusive Originals!","www.hulu.com/FreeTrial","http://www.google.com/aclk?sa=l&ai=DChcSEwivsaDlx4rQAhUNEhsKHboXDCgYABAA&sig=AOD64_1WwxM4p_BFxkSTPaIN1c2Pv9DaBg&adurl=&q="
